"schema_name","table_name","column_order","column_name","data_type","is_nullable","column_default","is_primary_key","foreign_table_name","foreign_column_name"
"asset","asset_transfers",1,"id","bigint(64,0)","NO",NULL,"YES",NULL,NULL
"asset","asset_transfers",2,"created_at","timestamp without time zone","NO",NULL,"NO",NULL,NULL
"asset","asset_transfers",3,"from_department_id","bigint(64,0)","YES",NULL,"NO",NULL,NULL
"asset","asset_transfers",4,"from_employee_id","bigint(64,0)","YES",NULL,"NO",NULL,NULL
"asset","asset_transfers",5,"from_site_id","bigint(64,0)","YES",NULL,"NO",NULL,NULL
"asset","asset_transfers",6,"handover_document_url","character varying(500)","YES",NULL,"NO",NULL,NULL
"asset","asset_transfers",7,"performed_by","character varying(200)","YES",NULL,"NO",NULL,NULL
"asset","asset_transfers",8,"reason","character varying(1000)","YES",NULL,"NO",NULL,NULL
"asset","asset_transfers",9,"to_department_id","bigint(64,0)","YES",NULL,"NO",NULL,NULL
"asset","asset_transfers",10,"to_employee_id","bigint(64,0)","YES",NULL,"NO",NULL,NULL
"asset","asset_transfers",11,"to_site_id","bigint(64,0)","YES",NULL,"NO",NULL,NULL
"asset","asset_transfers",12,"transfer_date","date","NO",NULL,"NO",NULL,NULL
"asset","asset_transfers",13,"transfer_type","character varying(30)","NO",NULL,"NO",NULL,NULL
"asset","asset_transfers",14,"asset_id","bigint(64,0)","NO",NULL,"NO","assets","id"
"asset","assets",1,"id","bigint(64,0)","NO",NULL,"YES",NULL,NULL
"asset","assets",2,"asset_code","character varying(60)","NO",NULL,"NO",NULL,NULL
"asset","assets",3,"assigned_employee_id","bigint(64,0)","YES",NULL,"NO",NULL,NULL
"asset","assets",4,"category","character varying(80)","NO",NULL,"NO",NULL,NULL
"asset","assets",5,"created_at","timestamp without time zone","NO",NULL,"NO",NULL,NULL
"asset","assets",6,"department_id","bigint(64,0)","YES",NULL,"NO",NULL,NULL
"asset","assets",7,"depreciation_method","character varying(30)","YES",NULL,"NO",NULL,NULL
"asset","assets",8,"disposal_date","date","YES",NULL,"NO",NULL,NULL
"asset","assets",9,"disposal_price","numeric(16,2)","YES",NULL,"NO",NULL,NULL
"asset","assets",10,"disposal_reason","character varying(500)","YES",NULL,"NO",NULL,NULL
"asset","assets",11,"name","character varying(180)","NO",NULL,"NO",NULL,NULL
"asset","assets",12,"notes","character varying(500)","YES",NULL,"NO",NULL,NULL
"asset","assets",13,"project_id","bigint(64,0)","YES",NULL,"NO",NULL,NULL
"asset","assets",14,"purchase_cost","numeric(16,2)","YES",NULL,"NO",NULL,NULL
"asset","assets",15,"purchase_date","date","YES",NULL,"NO",NULL,NULL
"asset","assets",16,"residual_value","numeric(16,2)","YES",NULL,"NO",NULL,NULL
"asset","assets",17,"serial_number","character varying(80)","YES",NULL,"NO",NULL,NULL
"asset","assets",18,"site_id","bigint(64,0)","YES",NULL,"NO",NULL,NULL
"asset","assets",19,"source","character varying(120)","YES",NULL,"NO",NULL,NULL
"asset","assets",20,"status","character varying(30)","NO",NULL,"NO",NULL,NULL
"asset","assets",21,"updated_at","timestamp without time zone","NO",NULL,"NO",NULL,NULL
"asset","assets",22,"useful_life_years","integer(32,0)","YES",NULL,"NO",NULL,NULL
"asset","assets",23,"warranty_until","date","YES",NULL,"NO",NULL,NULL
"asset","assets",24,"vendor_id","bigint(64,0)","YES",NULL,"NO","vendors","id"
"asset","contracts",1,"id","bigint(64,0)","NO",NULL,"YES",NULL,NULL
"asset","contracts",2,"attachment_object_key","character varying(500)","YES",NULL,"NO",NULL,NULL
"asset","contracts",3,"attachment_url","character varying(500)","YES",NULL,"NO",NULL,NULL
"asset","contracts",4,"contract_number","character varying(80)","NO",NULL,"NO",NULL,NULL
"asset","contracts",5,"contract_value","numeric(18,2)","YES",NULL,"NO",NULL,NULL
"asset","contracts",6,"created_at","timestamp without time zone","NO",NULL,"NO",NULL,NULL
"asset","contracts",7,"currency","character varying(10)","YES",NULL,"NO",NULL,NULL
"asset","contracts",8,"effective_from","date","YES",NULL,"NO",NULL,NULL
"asset","contracts",9,"effective_to","date","YES",NULL,"NO",NULL,NULL
"asset","contracts",10,"notes","character varying(1000)","YES",NULL,"NO",NULL,NULL
"asset","contracts",11,"payment_terms","text","YES",NULL,"NO",NULL,NULL
"asset","contracts",12,"sign_date","date","YES",NULL,"NO",NULL,NULL
"asset","contracts",13,"status","character varying(30)","NO",NULL,"NO",NULL,NULL
"asset","contracts",14,"title","character varying(200)","NO",NULL,"NO",NULL,NULL
"asset","contracts",15,"updated_at","timestamp without time zone","NO",NULL,"NO",NULL,NULL
"asset","contracts",16,"purchase_request_id","bigint(64,0)","YES",NULL,"NO","purchase_requests","id"
"asset","contracts",17,"vendor_id","bigint(64,0)","YES",NULL,"NO","vendors","id"
"asset","flyway_schema_history",1,"installed_rank","integer(32,0)","NO",NULL,"YES",NULL,NULL
"asset","flyway_schema_history",2,"version","character varying(50)","YES",NULL,"NO",NULL,NULL
"asset","flyway_schema_history",3,"description","character varying(200)","NO",NULL,"NO",NULL,NULL
"asset","flyway_schema_history",4,"type","character varying(20)","NO",NULL,"NO",NULL,NULL
"asset","flyway_schema_history",5,"script","character varying(1000)","NO",NULL,"NO",NULL,NULL
"asset","flyway_schema_history",6,"checksum","integer(32,0)","YES",NULL,"NO",NULL,NULL
"asset","flyway_schema_history",7,"installed_by","character varying(100)","NO",NULL,"NO",NULL,NULL
"asset","flyway_schema_history",8,"installed_on","timestamp without time zone","NO","now()","NO",NULL,NULL
"asset","flyway_schema_history",9,"execution_time","integer(32,0)","NO",NULL,"NO",NULL,NULL
"asset","flyway_schema_history",10,"success","boolean","NO",NULL,"NO",NULL,NULL
"asset","maintenance_records",1,"id","bigint(64,0)","NO",NULL,"YES",NULL,NULL
"asset","maintenance_records",2,"cost","numeric(16,2)","YES",NULL,"NO",NULL,NULL
"asset","maintenance_records",3,"created_at","timestamp without time zone","NO",NULL,"NO",NULL,NULL
"asset","maintenance_records",4,"description","character varying(1000)","YES",NULL,"NO",NULL,NULL
"asset","maintenance_records",5,"maintenance_date","date","NO",NULL,"NO",NULL,NULL
"asset","maintenance_records",6,"maintenance_type","character varying(30)","NO",NULL,"NO",NULL,NULL
"asset","maintenance_records",7,"next_maintenance_date","date","YES",NULL,"NO",NULL,NULL
